season_id,climate_year,season_type,ENSO_phase,station,PRCPTOT,wet_day_freq,SDII,Rx1day,Rx5day,R20mm,R50mm,R95p,R99p,CDD,CWD,source_type,model
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351001,753.5,39.13,10.47,41.5,82.1,14,0,0.0,0.0,11,7,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351002,1000.3,28.8,18.87,95.4,154.5,18,5,531.0,95.4,13,5,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351003,1339.9,33.7,21.61,120.4,144.9,28,7,683.5,120.4,14,5,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351004,1360.0,44.57,16.59,181.3,195.3,17,4,613.0,426.8,15,15,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351005,1192.4,43.48,14.91,105.2,152.5,18,5,494.3,105.2,22,8,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351006,1184.1,91.85,7.01,48.3,86.8,10,0,303.9,48.3,4,92,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351007,1179.2,92.39,6.94,43.4,82.0,9,0,260.5,43.4,4,105,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351008,1005.0,86.96,6.28,34.2,82.6,4,0,165.8,0.0,7,62,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351009,1184.2,94.57,6.81,23.4,81.5,2,0,268.0,46.2,4,117,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351010,1170.3,91.85,6.92,40.2,81.7,5,0,290.4,108.5,4,105,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351011,743.8,38.04,10.63,55.0,112.0,12,1,55.0,0.0,10,12,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351012,973.2,34.78,15.21,149.9,242.7,15,3,353.9,242.3,12,7,OBSERVED,OBSERVED
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351201,1168.4,47.28,13.43,84.6,287.0,16,6,491.7,160.6,7,14,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351001,115.1,6.04,10.46,36.0,38.9,2,0,0.0,0.0,112,3,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351002,125.0,7.69,8.93,35.1,51.5,1,0,0.0,0.0,97,5,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351003,287.8,7.14,22.14,72.8,91.0,5,1,72.8,72.8,97,4,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351004,224.1,6.04,20.37,92.4,120.4,4,1,92.4,92.4,97,3,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351005,199.4,9.34,11.73,94.4,108.8,2,1,94.4,94.4,97,5,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351006,239.6,26.37,4.99,40.1,60.6,2,0,60.1,40.1,39,13,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351007,243.0,27.47,4.86,35.3,56.6,1,0,35.3,0.0,39,13,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351008,249.4,21.43,6.39,24.8,60.8,2,0,66.7,0.0,64,9,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351009,269.0,34.07,4.34,10.8,44.3,0,0,0.0,0.0,34,15,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351010,233.8,30.22,4.25,20.4,40.7,1,0,20.4,0.0,34,13,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351011,254.2,8.79,15.89,47.4,74.1,6,0,92.1,0.0,66,4,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351012,196.6,7.14,15.12,86.3,86.3,2,1,86.3,0.0,62,4,OBSERVED,OBSERVED
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351201,259.5,11.54,12.36,38.5,71.3,6,0,0.0,0.0,95,4,OBSERVED,OBSERVED
1996_RAIN,1996,RAINY,NEUTRAL,351001,985.8,44.57,12.02,64.4,144.3,17,3,330.1,0.0,8,8,OBSERVED,OBSERVED
1996_RAIN,1996,RAINY,NEUTRAL,351002,832.9,39.13,11.57,50.4,92.6,13,1,135.8,0.0,11,7,OBSERVED,OBSERVED
1996_RAIN,1996,RAINY,NEUTRAL,351003,910.1,39.13,12.64,71.5,111.7,17,3,178.0,71.5,13,12,OBSERVED,OBSERVED
