date,model,member_id,sst_c,monthly_climatology_c,anomaly_c,anomaly_detrended_c,nino34_3month_c,episode_sign,episode_phase
1981-01-01,ACCESS-ESM1-5,r1i1p1f1,26.205473,26.509534,-0.304061,0.378841,,0,NO_PERSISTENT_EPISODE
1981-02-01,ACCESS-ESM1-5,r1i1p1f1,26.314651,26.653902,-0.339251,0.340295,0.222495,0,NO_PERSISTENT_EPISODE
1981-03-01,ACCESS-ESM1-5,r1i1p1f1,25.891775,26.619616,-0.727841,-0.051651,0.059825,0,NO_PERSISTENT_EPISODE
1981-04-01,ACCESS-ESM1-5,r1i1p1f1,25.968288,26.750293,-0.782005,-0.109170,-0.161058,0,NO_PERSISTENT_EPISODE
1981-05-01,ACCESS-ESM1-5,r1i1p1f1,26.401213,27.393045,-0.991832,-0.322354,-0.167637,0,NO_PERSISTENT_EPISODE
1981-06-01,ACCESS-ESM1-5,r1i1p1f1,27.012495,27.750005,-0.737510,-0.071387,-0.113556,0,NO_PERSISTENT_EPISODE
1981-07-01,ACCESS-ESM1-5,r1i1p1f1,27.119587,27.729282,-0.609695,0.053072,0.092339,0,NO_PERSISTENT_EPISODE
1981-08-01,ACCESS-ESM1-5,r1i1p1f1,27.148842,27.512923,-0.364081,0.295330,0.179853,0,NO_PERSISTENT_EPISODE
1981-09-01,ACCESS-ESM1-5,r1i1p1f1,26.684059,27.148957,-0.464898,0.191157,0.192051,0,NO_PERSISTENT_EPISODE
1981-10-01,ACCESS-ESM1-5,r1i1p1f1,26.320339,26.883374,-0.563035,0.089665,0.096487,0,NO_PERSISTENT_EPISODE
1981-11-01,ACCESS-ESM1-5,r1i1p1f1,26.130875,26.771580,-0.640705,0.008639,0.030451,0,NO_PERSISTENT_EPISODE
1981-12-01,ACCESS-ESM1-5,r1i1p1f1,26.011177,26.664116,-0.652939,-0.006951,-0.136854,0,NO_PERSISTENT_EPISODE
1982-01-01,ACCESS-ESM1-5,r1i1p1f1,25.454651,26.509534,-1.054883,-0.412250,-0.325903,0,NO_PERSISTENT_EPISODE
1982-02-01,ACCESS-ESM1-5,r1i1p1f1,25.456118,26.653902,-1.197784,-0.558508,-0.666618,0,NO_PERSISTENT_EPISODE
1982-03-01,ACCESS-ESM1-5,r1i1p1f1,24.954599,26.619616,-1.665016,-1.029096,-0.882432,0,NO_PERSISTENT_EPISODE
1982-04-01,ACCESS-ESM1-5,r1i1p1f1,25.058035,26.750293,-1.692258,-1.059693,-0.896711,0,NO_PERSISTENT_EPISODE
1982-05-01,ACCESS-ESM1-5,r1i1p1f1,26.162493,27.393045,-1.230552,-0.601343,-0.648112,0,NO_PERSISTENT_EPISODE
1982-06-01,ACCESS-ESM1-5,r1i1p1f1,26.840853,27.750005,-0.909152,-0.283299,-0.392746,0,NO_PERSISTENT_EPISODE
1982-07-01,ACCESS-ESM1-5,r1i1p1f1,26.813187,27.729282,-0.916095,-0.293598,-0.256067,0,NO_PERSISTENT_EPISODE
1982-08-01,ACCESS-ESM1-5,r1i1p1f1,26.702477,27.512923,-0.810446,-0.191304,-0.134738,0,NO_PERSISTENT_EPISODE
1982-09-01,ACCESS-ESM1-5,r1i1p1f1,26.613859,27.148957,-0.535098,0.080688,0.046155,0,NO_PERSISTENT_EPISODE
1982-10-01,ACCESS-ESM1-5,r1i1p1f1,26.520025,26.883374,-0.363349,0.249081,0.187331,0,NO_PERSISTENT_EPISODE
1982-11-01,ACCESS-ESM1-5,r1i1p1f1,26.394730,26.771580,-0.376850,0.232224,0.202571,0,NO_PERSISTENT_EPISODE
1982-12-01,ACCESS-ESM1-5,r1i1p1f1,26.184805,26.664116,-0.479312,0.126407,0.169754,0,NO_PERSISTENT_EPISODE
1983-01-01,ACCESS-ESM1-5,r1i1p1f1,26.057800,26.509534,-0.451733,0.150630,0.142400,0,NO_PERSISTENT_EPISODE
1983-02-01,ACCESS-ESM1-5,r1i1p1f1,26.205059,26.653902,-0.448843,0.150164,0.319255,0,NO_PERSISTENT_EPISODE
1983-03-01,ACCESS-ESM1-5,r1i1p1f1,26.680937,26.619616,0.061321,0.656972,0.523239,1,EL_NINO
1983-04-01,ACCESS-ESM1-5,r1i1p1f1,26.920578,26.750293,0.170285,0.762580,0.694202,1,EL_NINO
1983-05-01,ACCESS-ESM1-5,r1i1p1f1,27.467157,27.393045,0.074112,0.663052,0.693365,1,EL_NINO
1983-06-01,ACCESS-ESM1-5,r1i1p1f1,27.818882,27.750005,0.068877,0.654461,0.763025,1,EL_NINO
1983-07-01,ACCESS-ESM1-5,r1i1p1f1,28.118616,27.729282,0.389334,0.971562,0.875188,1,EL_NINO
1983-08-01,ACCESS-ESM1-5,r1i1p1f1,27.933590,27.512923,0.420667,0.999540,1.076855,1,EL_NINO
1983-09-01,ACCESS-ESM1-5,r1i1p1f1,27.832903,27.148957,0.683946,1.259462,1.249294,1,EL_NINO
1983-10-01,ACCESS-ESM1-5,r1i1p1f1,27.800095,26.883374,0.916721,1.488881,1.440668,1,EL_NINO
1983-11-01,ACCESS-ESM1-5,r1i1p1f1,27.776436,26.771580,1.004856,1.573661,1.621100,1,EL_NINO
1983-12-01,ACCESS-ESM1-5,r1i1p1f1,27.899426,26.664116,1.235309,1.800758,1.768172,1,EL_NINO
1984-01-01,ACCESS-ESM1-5,r1i1p1f1,27.877537,26.509534,1.368003,1.930097,1.882861,1,EL_NINO
1984-02-01,ACCESS-ESM1-5,r1i1p1f1,28.012894,26.653902,1.358992,1.917729,1.590164,1,EL_NINO
1984-03-01,ACCESS-ESM1-5,r1i1p1f1,26.986898,26.619616,0.367283,0.922665,1.137561,1,EL_NINO
