Station,P95_threshold_mm,P99_threshold_mm,Wet_day_definition,Baseline_period
351001,42.8,74.88199999999998,RR >= 1 mm,1981-2014
351002,40.70499999999998,74.1,RR >= 1 mm,1981-2014
351003,39.764999999999965,68.37800000000006,RR >= 1 mm,1981-2014
351004,42.26999999999998,78.02799999999988,RR >= 1 mm,1981-2014
351005,40.0,74.29000000000006,RR >= 1 mm,1981-2014
351006,19.525,36.18999999999996,RR >= 1 mm,1981-2014
351007,19.0,36.56300000000001,RR >= 1 mm,1981-2014
351008,18.2,39.17399999999998,RR >= 1 mm,1981-2014
351009,12.7,19.722999999999956,RR >= 1 mm,1981-2014
351010,13.7,21.4,RR >= 1 mm,1981-2014
351011,41.66999999999999,87.06800000000003,RR >= 1 mm,1981-2014
351012,43.36999999999998,89.55299999999993,RR >= 1 mm,1981-2014
351201,39.875,74.33000000000011,RR >= 1 mm,1981-2014
